#station_code lat lon elevation type warning_region drift_station_code wind_scaling_factor slope exposition
ADE2 46.434365 7.582633 2304 SNOW_FLAT 1227 null 1.0 0 null
ADE3 46.475527 7.490138 2355 FLOWCAPT 1224 null 1.0 null null
ALB2 46.580945 9.836224 2322 SNOW_FLAT 5231 null 1.0 0 null
ALI1 46.482248 6.987282 1989 WIND 1112 null 1.0 null null
ALI2 46.488632 6.993298 1708 SNOW_FLAT 1112 ALI1 1.04 0 null
AMD1 47.169691 9.135592 1932 WIND 3222 null 1.0 null null
AMD2 47.170837 9.146883 1610 SNOW_FLAT 3222 AMD1 1.14 0 null
ANV1 46.150764 7.586665 2895 WIND 4124 null 1.0 null null
ANV2 46.188277 7.535372 2640 SNOW_FLAT 4124 ANV1 1.29 0 null
ANV3 46.121164 7.656401 2589 SNOW_FLAT 4124 ANV1 1.29 0 null
ARO1 46.035367 7.435290 3300 WIND 4123 null 1.0 null null
ARO2 46.028782 7.445855 2847 SNOW_FLAT 4123 ARO1 1.39 0 null
ARO3 46.087420 7.562060 2602 SNOW_FLAT 4123 ARO1 1.25 0 null
ATT2 46.105287 7.269918 2550 SNOW_FLAT 4115 *ATT1 1.14 0 null
AUE2 47.056179 9.010238 1920 SNOW_FLAT 3114 null 1.0 null null
BAG1 46.102097 7.266320 2659 FLOWCAPT 4115 null 1.0 null null
BAR2 46.428822 6.120228 1513 SNOW_FLAT 8111 null 1.0 null null
BED1 46.538890 8.519466 2963 WIND 6111 null 1.0 null null
BED2 46.532663 8.511103 2420 SNOW_FLAT 6111 null 1.0 null null
BED3 46.491159 8.521914 2101 SNOW_FLAT 6111 BED1 0.92 0 null
BED4 46.525630 8.496418 2305 SNOW_FLAT 6111 BED1 1.0 0 null
BEL2 46.394846 7.974175 2554 SNOW_FLAT 4214 MUN1 0.98 0 null
BER1 46.431481 10.023643 2956 WIND 7112 null 1.0 null null
BER2 46.420571 10.029201 2447 SNOW_FLAT 7221 BER1 0.85 0 null
BER3 46.440915 9.915890 2625 SNOW_FLAT 7112 BER1 0.85 0 null
BEV1 46.548854 9.853534 2490 WIND 7114 null 1.0 null null
BEV2 46.539564 9.837090 2512 SNOW_FLAT 7114 BEV1 0.8 0 null
BIN2 46.373469 8.267822 2250 SNOW_FLAT 4242 null 1.0 null null
